name,author,isbn,genre
Imagine Me,Tahereh Mafi,=9780062676443,Young Adult Fiction
Reveal Me,Tahereh Mafi,=,Juvenile Fiction
Spread Me,Sarah Gailey,=9781250387332,Fiction
You Like It Darker,Stephen        King,=9781668037713,Fiction
Defy Me,Tahereh Mafi,=9780062676399,Young Adult Fiction
Shadow Me,Tahereh Mafi,=9780062906267,Young Adult Fiction
Restore Me,Tahereh Mafi,=9780062676368,Young Adult Fiction
Between Life and Death,Jaclyn Kot,=9781738702220,Fiction
Circe,Madeline Miller,=9780316556347,Fiction
Mockingjay,Suzanne Collins,=9780439023511,Juvenile Fiction
The Fisherman,John  Langan,=9781939905215,Fiction
Ignite Me,Tahereh Mafi,=9780062085597,Young Adult Fiction
Fracture Me,Tahereh Mafi,=9780062284839,Young Adult Fiction
Unravel Me,Tahereh Mafi,=9780062085542,Juvenile Fiction
Destroy Me,Tahereh Mafi,=9780062208194,Young Adult Fiction
Shatter Me,Tahereh Mafi,=,Young Adult Fiction
Spellcaster,Jaymin Eve,=9781335472007,Fiction
The Long Walk,Richard  Bachman,=,Horror
The Last Letter,Rebecca Yarros,=9781640635333,Fiction
Don't Let the Forest In,C.G. Drews,=9781250895660,Young Adult Fiction
Project Hail Mary,Andy Weir,=9780593135211,Fiction
The Fallen and the Kiss of Dusk,Carissa Broadbent,=,Fantasy
House of the Beast,Michelle  Wong,=9780063446250,Fiction
Fearful,Lauren  Roberts,=9781665971072,Young Adult Fiction
The Songbird & the Heart of Stone,Carissa Broadbent,=,Fantasy
Dungeon Crawler Carl,Matt Dinniman,=,Fantasy
Tell Me What You Did,Carter   Wilson,=9781464226229,Fiction
Sea of Tranquility,Emily St. John Mandel,=9780593321447,Fiction
The Lion and the Deathless Dark,Carissa Broadbent,=,Fantasy
Slaying the Vampire Conqueror,Carissa Broadbent,=,Fantasy
The Memory Police,Yōko Ogawa,=9781101870600,Fiction
Silver Elite,Dani Francis,=9780593875469,Fiction
One True Loves,Taylor Jenkins Reid,=,Romance
The Ashes & the Star-Cursed King,Carissa Broadbent,=,Fantasy
A Liar's Twisted Tongue,Caroline Cusanelli,=9798990027800,Young Adult Fiction
The Midnight Feast,Lucy Foley,=9780063003101,Fiction
The Paris Apartment,Lucy Foley,=9780063003057,Fiction
The Guest List,Lucy Foley,=,Mystery
Lord of the Flies,William Golding,=9780140283334,Fiction
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,=9780735243347,Fiction
Six Scorched Roses,Carissa Broadbent,=,Fantasy
Holy Wrath,Victoria Mier,=,Fantasy
The Serpent and the Wings of Night,Carissa Broadbent,=,Fantasy
For Whom the Belle Tolls,Jaysea Lynn,=9798991230506,Fiction
The Necromancer's House,Christopher Buehlman,=9780425256657,Fantasy fiction
Daughter of No Worlds,Carissa Broadbent,=,Fantasy
The Last Wish,Andrzej Sapkowski,=9780316438964,Fiction
The Lamb,Lucy   Rose,=9781399619714,Fiction
Throne in the Dark,A.K. Caggiano,=,Fantasy
Bull Moon Rising,Ruby Dixon,=9780593817025,Fiction
Shield of Sparrows,Devney Perry,=9781649378514,Fiction
The Stars Are Dying,C.C. Peñaranda,=9781915534040,Fiction
Flowers for Algernon,Daniel Keyes,=,Science Fiction
Annihilation,Jeff VanderMeer,=9780374104092,Fiction
You Should Have Left,Daniel Kehlmann,=9781101871980,Fiction
Fearless,Lauren  Roberts,=,Romantasy
Meet Me in Another Life,Catriona Silvey,=9780063020207,Fiction
